File info,Channel 1 Cluster 70.0,Channel 1 Cluster -50.0
SpikerBox,5.4177,0.2131
10000,6.7113,0.8484
001,12.4672,0.987
Notch filter: 50; quality: 30,13.8587,2.0735
"Bandpass filter: 100, 13; order: 2",34.0065,2.8853
"Data selection: True, False; 0.0; 650000.0",34.0666,2.9826
Spike sorting cut-off: 100,34.1473,3.0343
"Spike sorting thresholds: 70.0, -50.0",34.493,3.6495
,39.2044,3.7252
,41.1217,3.8698
,42.0732,3.958
,42.8007,4.8416
,53.7621,5.5994
,59.031,5.9025
,59.035,5.9108
,59.0414,6.4267
,,6.4971
,,6.5575
,,6.9831
,,7.056
,,7.6236
,,7.8617
,,8.5727
,,8.7288
,,8.9068
,,9.0159
,,9.2329
,,10.6971
,,10.7008
,,11.43
,,11.9876
,,12.5804
,,12.845
,,12.8487
,,12.9011
,,12.922
,,12.9731
,,13.074
,,13.3816
,,13.769
,,14.1317
,,14.1345
,,14.5298
,,14.8242
,,15.1544
,,15.2229
,,15.4423
,,15.4573
,,15.6238
,,15.6744
,,17.6589
,,18.0762
,,18.1679
,,18.8989
,,19.0053
,,19.332
,,19.4081
,,19.7177
,,19.8057
,,20.8937
,,20.9815
,,21.643
,,21.9195
,,22.6191
,,22.8903
,,23.1537
,,23.3195
,,23.5528
,,23.7164
,,24.2369
,,24.3772
,,25.6656
,,25.8962
,,26.0533
,,26.2326
,,26.6769
,,27.4764
,,28.3018
,,28.4236
,,28.8151
,,29.0226
,,29.1966
,,30.1794
,,31.2343
,,31.3385
,,31.595
,,31.875
,,32.2528
,,32.4227
,,33.0316
,,33.044
,,33.0481
,,33.1126
,,33.9595
,,34.0478
,,34.0682
,,34.1428
,,34.1498
,,34.153
,,34.3074
,,34.4189
,,34.5252
,,34.6119
,,34.6217
,,34.6242
,,34.7204
,,34.7904
,,35.1749
,,35.1768
,,35.231
,,35.3547
,,36.0986
,,36.258
,,36.5539
,,37.4342
,,37.4364
,,37.5754
,,37.9476
,,38.1781
,,38.4194
,,38.7229
,,39.0592
,,39.6688
,,39.7938
,,40.0442
,,40.7857
,,41.1462
,,41.3636
,,41.8703
,,42.0492
,,42.0524
,,42.1373
,,42.9466
,,43.2011
,,43.5543
,,43.557
,,43.6427
,,44.0533
,,44.4242
,,45.5161
,,45.8249
,,46.0978
,,46.3661
,,46.6105
,,46.7211
,,46.9829
,,47.7752
,,47.8152
,,47.8825
,,47.9348
,,48.2308
,,48.9264
,,49.5638
,,50.0014
,,50.0293
,,50.4466
,,51.0138
,,51.0925
,,51.5643
,,51.8778
,,51.9262
,,52.2078
,,52.4132
,,52.4951
,,52.9185
,,53.0957
,,53.2809
,,53.9621
,,54.0519
,,54.233
,,54.4665
,,54.8171
,,55.5172
,,55.5961
,,56.7105
,,58.248
,,58.5561
,,58.9613
,,59.0299
,,59.0326
,,59.0386
,,59.0718
,,59.2461
,,59.4082
,,59.4869
,,59.5171
,,59.6281
,,59.6937
,,59.6966
,,59.818
,,60.2045
,,60.235
,,60.5183
,,60.5736
,,60.7423
,,61.108
,,61.6462
,,62.3817
,,62.4776
,,62.6557
,,62.6715
,,62.6786
,,62.8599
,,63.4442
,,64.4277
