Cluster threshold 500,Start time,Stop time,Frequency,Cut off threshold
80.3532,80.0,140.0,2.033333333333333,750.0
80.3556,,,,
80.5655,,,,
80.6599,,,,
80.964,,,,
81.0473,,,,
81.1713,,,,
81.4973,,,,
81.6231,,,,
82.0409,,,,
82.188,,,,
82.5047,,,,
82.6283,,,,
82.6311,,,,
83.646,,,,
83.8933,,,,
83.9429,,,,
83.9952,,,,
84.3887,,,,
84.4978,,,,
84.8019,,,,
84.9089,,,,
85.1122,,,,
85.1781,,,,
85.2743,,,,
85.2765,,,,
85.4283,,,,
85.5304,,,,
85.9726,,,,
86.5567,,,,
86.6027,,,,
86.8956,,,,
94.3309,,,,
94.3358,,,,
94.3363,,,,
94.3419,,,,
94.3789,,,,
97.8076,,,,
105.3374,,,,
107.022,,,,
107.679,,,,
107.9871,,,,
108.4397,,,,
108.6354,,,,
109.0715,,,,
109.4039,,,,
109.4133,,,,
109.4904,,,,
109.7461,,,,
109.8026,,,,
110.0218,,,,
110.6238,,,,
110.9948,,,,
111.1786,,,,
111.9936,,,,
112.8425,,,,
114.2442,,,,
114.6059,,,,
114.9504,,,,
115.0571,,,,
116.4153,,,,
116.688,,,,
116.7268,,,,
117.7875,,,,
118.0705,,,,
118.223,,,,
118.6995,,,,
118.775,,,,
118.9315,,,,
119.5947,,,,
119.7154,,,,
120.0504,,,,
120.7181,,,,
121.8212,,,,
121.9223,,,,
121.9644,,,,
122.5242,,,,
122.8231,,,,
123.2361,,,,
123.8868,,,,
123.9754,,,,
124.3587,,,,
124.6291,,,,
124.9809,,,,
125.0708,,,,
125.8726,,,,
126.1057,,,,
126.1967,,,,
126.5647,,,,
126.9948,,,,
127.4613,,,,
127.5408,,,,
127.7987,,,,
127.9475,,,,
129.1183,,,,
129.3242,,,,
129.3724,,,,
130.1055,,,,
130.144,,,,
130.4161,,,,
130.7823,,,,
132.1573,,,,
132.6758,,,,
133.1975,,,,
133.2174,,,,
133.731,,,,
133.7972,,,,
134.0549,,,,
134.1901,,,,
134.5822,,,,
134.6896,,,,
134.9538,,,,
135.4397,,,,
135.5609,,,,
135.5612,,,,
137.2511,,,,
137.5455,,,,
137.6489,,,,
138.2084,,,,
138.5263,,,,
139.8682,,,,
139.889,,,,
