Cluster threshold 700,Start time,Stop time,Frequency,Cut off threshold
0.0682,0.0,60.0,7.916666666666667,"[1200, 'r']"
0.2732,,,,
0.6613,,,,
0.7503,,,,
1.5147,,,,
1.6076,,,,
1.6754,,,,
1.7468,,,,
1.838,,,,
1.9421,,,,
2.0728,,,,
2.6167,,,,
2.7526,,,,
2.8585,,,,
2.872,,,,
2.8746,,,,
2.8784,,,,
2.8847,,,,
2.8863,,,,
2.9321,,,,
2.9784,,,,
3.0326,,,,
3.219,,,,
3.2206,,,,
3.4559,,,,
3.5848,,,,
3.7362,,,,
3.8061,,,,
3.9739,,,,
4.0026,,,,
4.1316,,,,
4.2336,,,,
4.3929,,,,
4.5608,,,,
4.6169,,,,
4.619,,,,
4.6625,,,,
4.6645,,,,
4.7234,,,,
4.8739,,,,
5.0763,,,,
5.193,,,,
5.7619,,,,
5.8376,,,,
5.9099,,,,
5.9885,,,,
6.0946,,,,
6.1439,,,,
6.1879,,,,
6.3541,,,,
6.4933,,,,
6.7092,,,,
7.397,,,,
7.6873,,,,
7.8085,,,,
8.2037,,,,
8.311,,,,
8.6552,,,,
8.8361,,,,
9.0065,,,,
9.0087,,,,
9.0149,,,,
9.4099,,,,
9.5749,,,,
9.8639,,,,
10.1296,,,,
10.1316,,,,
10.3381,,,,
10.4144,,,,
10.5749,,,,
10.7002,,,,
10.7021,,,,
10.7872,,,,
10.9168,,,,
11.0864,,,,
11.4064,,,,
11.5207,,,,
11.783,,,,
12.095,,,,
12.1664,,,,
12.2339,,,,
12.3901,,,,
12.4651,,,,
12.4673,,,,
12.5527,,,,
12.7764,,,,
12.8879,,,,
12.9211,,,,
12.9682,,,,
12.9971,,,,
13.0562,,,,
13.0698,,,,
13.1634,,,,
13.184,,,,
13.186,,,,
13.216,,,,
13.2689,,,,
13.3148,,,,
13.3392,,,,
13.3956,,,,
13.4552,,,,
13.4573,,,,
13.5075,,,,
13.5526,,,,
13.6099,,,,
13.6263,,,,
13.6711,,,,
13.7141,,,,
13.7681,,,,
13.8569,,,,
13.859,,,,
13.8705,,,,
13.9284,,,,
13.9892,,,,
14.0133,,,,
14.1309,,,,
14.2017,,,,
14.2037,,,,
14.277,,,,
14.3161,,,,
14.318,,,,
14.4085,,,,
14.4869,,,,
14.5256,,,,
14.5527,,,,
14.6261,,,,
14.6543,,,,
14.7009,,,,
14.8561,,,,
15.0329,,,,
15.1966,,,,
15.2286,,,,
15.4414,,,,
15.5018,,,,
15.5894,,,,
15.6692,,,,
15.7835,,,,
16.0502,,,,
16.0725,,,,
16.0746,,,,
16.163,,,,
16.22,,,,
16.4074,,,,
16.5318,,,,
16.9486,,,,
17.585,,,,
17.5871,,,,
17.6555,,,,
17.7782,,,,
17.8795,,,,
18.0254,,,,
18.0982,,,,
18.4879,,,,
18.49,,,,
18.5793,,,,
18.6846,,,,
19.4046,,,,
19.5248,,,,
19.6337,,,,
19.763,,,,
20.0272,,,,
20.2632,,,,
20.4245,,,,
21.026,,,,
21.2785,,,,
21.5775,,,,
21.8509,,,,
22.3619,,,,
22.8288,,,,
23.139,,,,
23.2309,,,,
23.3086,,,,
23.6956,,,,
23.8539,,,,
23.8742,,,,
24.2361,,,,
24.7186,,,,
25.1162,,,,
25.3016,,,,
25.4111,,,,
25.5022,,,,
25.6262,,,,
25.8954,,,,
26.532,,,,
26.8943,,,,
26.8963,,,,
27.2347,,,,
27.3405,,,,
27.3426,,,,
27.4635,,,,
27.8786,,,,
28.0275,,,,
28.1135,,,,
28.3011,,,,
28.4991,,,,
29.8049,,,,
29.9826,,,,
30.1043,,,,
30.4762,,,,
30.5859,,,,
31.1147,,,,
31.6931,,,,
32.3238,,,,
32.4766,,,,
32.6364,,,,
32.8119,,,,
32.8679,,,,
32.8701,,,,
32.9319,,,,
33.0699,,,,
33.2421,,,,
33.41,,,,
33.5251,,,,
34.1387,,,,
34.1555,,,,
34.211,,,,
34.2366,,,,
34.2571,,,,
34.2837,,,,
34.3243,,,,
34.3377,,,,
34.3398,,,,
34.3683,,,,
34.3936,,,,
34.4018,,,,
34.4322,,,,
34.4911,,,,
34.5242,,,,
34.5263,,,,
34.5583,,,,
34.5658,,,,
34.6081,,,,
34.6206,,,,
34.6945,,,,
34.7436,,,,
34.7916,,,,
34.7992,,,,
34.8227,,,,
34.9016,,,,
34.9398,,,,
34.9647,,,,
34.9975,,,,
35.0716,,,,
35.1052,,,,
35.1738,,,,
35.1761,,,,
35.2075,,,,
35.2098,,,,
35.2367,,,,
35.2656,,,,
35.2965,,,,
35.3529,,,,
35.3765,,,,
35.4278,,,,
35.4368,,,,
35.439,,,,
35.5038,,,,
35.5111,,,,
35.5585,,,,
35.5936,,,,
35.6256,,,,
35.6544,,,,
35.6881,,,,
35.7027,,,,
35.7986,,,,
35.8268,,,,
35.8363,,,,
35.956,,,,
35.9947,,,,
35.9968,,,,
36.025,,,,
36.0269,,,,
36.0335,,,,
36.0847,,,,
36.0946,,,,
36.1917,,,,
36.2,,,,
36.3625,,,,
36.4612,,,,
36.55,,,,
36.5639,,,,
36.7065,,,,
36.8486,,,,
36.8907,,,,
36.9661,,,,
37.0359,,,,
37.0854,,,,
37.2005,,,,
37.2025,,,,
37.3515,,,,
37.3538,,,,
37.3742,,,,
37.4354,,,,
37.572,,,,
37.6306,,,,
37.7225,,,,
37.7655,,,,
37.7674,,,,
37.8015,,,,
37.8358,,,,
37.9014,,,,
38.0057,,,,
38.0367,,,,
38.1235,,,,
38.1774,,,,
38.3604,,,,
38.5281,,,,
38.5301,,,,
38.7844,,,,
38.7867,,,,
38.9262,,,,
39.0017,,,,
39.0745,,,,
39.2022,,,,
39.2532,,,,
39.3635,,,,
39.7623,,,,
39.8223,,,,
39.9011,,,,
39.9743,,,,
40.1465,,,,
40.2971,,,,
40.5518,,,,
40.8702,,,,
40.9198,,,,
41.0394,,,,
41.1455,,,,
41.3373,,,,
41.4397,,,,
41.5316,,,,
41.5336,,,,
41.7421,,,,
41.844,,,,
41.9432,,,,
42.2707,,,,
42.2727,,,,
42.3739,,,,
42.5683,,,,
42.6566,,,,
42.7391,,,,
42.8276,,,,
43.3136,,,,
43.365,,,,
43.3671,,,,
43.5114,,,,
43.5556,,,,
43.6163,,,,
43.6392,,,,
43.9461,,,,
44.0378,,,,
44.2767,,,,
44.3449,,,,
44.5854,,,,
44.5875,,,,
44.6785,,,,
44.7293,,,,
44.7313,,,,
44.7731,,,,
44.9514,,,,
45.1001,,,,
45.1547,,,,
45.209,,,,
45.3966,,,,
45.4756,,,,
45.5123,,,,
45.5144,,,,
45.6497,,,,
45.7181,,,,
45.8061,,,,
45.8083,,,,
45.8134,,,,
45.8796,,,,
46.0235,,,,
46.1072,,,,
46.1092,,,,
46.2092,,,,
46.2819,,,,
46.3479,,,,
46.4382,,,,
46.4402,,,,
46.5296,,,,
46.7999,,,,
46.9017,,,,
46.9037,,,,
47.0648,,,,
47.1303,,,,
47.1969,,,,
47.3516,,,,
47.4006,,,,
47.5395,,,,
47.5418,,,,
47.5986,,,,
47.7698,,,,
47.772,,,,
47.8817,,,,
48.0429,,,,
48.1284,,,,
48.2011,,,,
48.2596,,,,
48.4247,,,,
48.6141,,,,
48.7424,,,,
48.8178,,,,
48.9846,,,,
49.1697,,,,
49.2543,,,,
49.2848,,,,
49.4035,,,,
49.5972,,,,
49.7583,,,,
50.2263,,,,
50.433,,,,
50.5296,,,,
50.7881,,,,
51.0802,,,,
51.1658,,,,
51.3044,,,,
51.4429,,,,
51.5295,,,,
51.6204,,,,
51.7263,,,,
51.7816,,,,
51.8744,,,,
51.8766,,,,
52.1068,,,,
52.3008,,,,
52.5264,,,,
52.6151,,,,
52.7025,,,,
52.9175,,,,
53.0355,,,,
53.5394,,,,
54.2476,,,,
54.5292,,,,
55.4575,,,,
55.5754,,,,
55.6605,,,,
55.7217,,,,
55.7751,,,,
55.7857,,,,
55.9429,,,,
